sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
0,0,0.297813,25.8265,0,1,12,16.6278,11.0202,1
0,1,0.247813,25.8265,0,1,12,16.6278,11.0202,1
0,2,0.54937,25.2382,0,1,0.574563,7,3.17615,1
0,3,0.59937,25.2382,0,1,0.574563,7,3.17615,1
0,4,0.347813,25.8265,0,1,12,16.6278,11.0202,1
0,5,0.277813,25.8265,0,1,12,16.6278,11.0202,1
0,6,0.799832,25.2382,0,1,0.574563,7,3.17615,1
0,7,0.9,25.8265,0,1,12,16.6278,11.0202,1
0.1,0,0.296872,26.1685,0,1,3.57847,7.66892,4.74294,1
0.1,1,0.246872,26.1685,0,1,3.57847,7.66892,4.74294,1
0.1,2,0.548657,25.5036,0,1,1.50735,7,3.59202,1
0.1,3,0.598657,25.5036,0,1,1.50735,7,3.59202,1
0.1,4,0.346809,26.1924,0,1,4.24739,7,5.06241,1
0.1,5,0.276809,26.1924,0,1,4.24739,7,5.06241,1
0.1,6,0.799642,25.5036,0,1,1.50735,7,3.59202,1
0.1,7,0.9,26.1924,0,1,4.24739,7,5.06241,1
0.2,0,0.295904,26.5152,0,1,1.40592,20.9843,4.88268,1
0.2,1,0.245904,26.5152,0,1,1.40592,20.9843,4.88268,1
0.2,2,0.547859,25.7971,0,1,1.40592,12.0435,4.02431,1
0.2,3,0.597859,25.7971,0,1,1.40592,12.0435,4.02431,1
0.2,4,0.34584,26.5387,0,1,1.40592,20.9843,4.88268,1
0.2,5,0.27584,26.5387,0,1,1.40592,20.9843,4.88268,1
0.2,6,0.799429,25.7971,0,1,1.40592,12.0435,4.02431,1
0.2,7,0.9,26.5387,0,1,1.40592,20.9843,4.88268,1
0.3,0,0.29475,26.926,0,1,2.79878,23.3714,5.81388,1
0.3,1,0.24475,26.926,0,1,2.79878,23.3714,5.81388,1
0.3,2,0.546534,26.2844,0,1,2.79878,32.3303,6.67532,1
0.3,3,0.596534,26.2844,0,1,2.79878,32.3303,6.67532,1
0.3,4,0.344687,26.9491,0,1,2.79878,23.3714,5.81388,1
0.3,5,0.274687,26.9491,0,1,2.79878,23.3714,5.81388,1
0.3,6,0.799076,26.2844,0,1,2.79878,32.3303,6.67532,1
0.3,7,0.9,26.9491,0,1,2.79878,23.3714,5.81388,1
0.4,0,0.293584,27.3347,0,1,4.39114,14.7308,5.87729,1
0.4,1,0.243584,27.3347,0,1,4.39114,14.7308,5.87729,1
0.4,2,0.545098,26.806,0,1,4.39114,28.9524,7.23976,1
0.4,3,0.595098,26.806,0,1,4.39114,28.9524,7.23976,1
0.4,4,0.343521,27.3575,0,1,4.39114,14.7308,5.87729,1
0.4,5,0.273521,27.3575,0,1,4.39114,14.7308,5.87729,1
0.4,6,0.798693,26.806,0,1,4.39114,28.9524,7.23976,1
0.4,7,0.9,27.3575,0,1,4.39114,14.7308,5.87729,1
0.5,0,0.293107,27.4759,0,1,0.146313,0.146313,2.40239,1
0.5,1,0.243107,27.4759,0,1,0.146313,0.146313,2.40239,1
0.5,2,0.543626,27.3321,0,1,5.55726,23.5526,7.41569,1
0.5,3,0.593626,27.3321,0,1,5.55726,23.5526,7.41569,1
0.5,4,0.343044,27.4983,0,1,0.146313,0.146313,2.40239,1
