n,seed,mlpred,avg_thp,qoe
3,1,0,2847831.00,1.18
3,1,1,2871234.00,1.20
3,2,0,4433739.00,2.27
3,2,1,4416849.00,2.26
3,3,0,4766696.67,2.62
3,3,1,4776093.33,2.62
