n,seed,mlpred,avg_thp,qoe
3,1,0,3930256.67,1.62
3,1,1,3923466.67,1.61
3,2,0,6800043.33,4.56
3,2,1,6822956.67,4.59
3,3,0,6670296.67,4.33
3,3,1,6676713.33,4.34
