sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
0.9,4,0.33123,31.603,0,1,12.4951,12.4951,10.979,1
0.9,5,0.258267,32.7116,0,1,14.3643,14.3643,12.5039,1
0.9,6,0.794995,31.603,0,1,12.4951,12.4951,10.979,1
0.9,7,0.9,32.7116,0,1,14.3643,14.3643,12.5039,1
1,0,0.275162,33.7568,0,1,18.0959,18.0959,15.6491,1
1,1,0.225162,33.7568,0,1,18.0959,18.0959,15.6491,1
1,2,0.529399,32.1852,0,1,10.2909,10.2909,9.23085,1
1,3,0.575162,33.7568,0,1,18.0959,18.0959,15.6491,1
1,4,0.329399,32.1852,0,1,10.2909,10.2909,9.23085,1
1,5,0.255162,33.7568,0,1,18.0959,18.0959,15.6491,1
1,6,0.794506,32.1852,0,1,10.2909,10.2909,9.23085,1
1,7,0.9,33.7568,0,1,18.0959,18.0959,15.6491,1
1.1,0,0.272479,34.6248,0,1,15.5866,15.5866,13.5202,1
1.1,1,0.222479,34.6248,0,1,15.5866,15.5866,13.5202,1
1.1,2,0.52698,32.9799,0,1,13.9858,13.9858,12.1922,1
1.1,3,0.572479,34.6248,0,1,15.5866,15.5866,13.5202,1
1.1,4,0.32698,32.9799,0,1,13.9858,13.9858,12.1922,1
1.1,5,0.252479,34.6248,0,1,15.5866,15.5866,13.5202,1
1.1,6,0.793861,32.9799,0,1,13.9858,13.9858,12.1922,1
1.1,7,0.9,34.6248,0,1,15.5866,15.5866,13.5202,1
1.2,0,0.26997,35.413,0,1,14.5379,14.5379,12.6474,1
1.2,1,0.21997,35.413,0,1,14.5379,14.5379,12.6474,1
1.2,2,0.525069,33.5692,0,1,10.8011,10.8011,9.63021,1
1.2,3,0.56997,35.413,0,1,14.5379,14.5379,12.6474,1
1.2,4,0.325069,33.5692,0,1,10.8011,10.8011,9.63021,1
1.2,5,0.24997,35.413,0,1,14.5379,14.5379,12.6474,1
1.2,6,0.793352,33.5692,0,1,10.8011,10.8011,9.63021,1
1.2,7,0.9,35.413,0,1,14.5379,14.5379,12.6474,1
1.3,0,0.267226,36.2766,0,1,15.9539,15.9539,13.8283,1
1.3,1,0.217226,36.2766,0,1,15.9539,15.9539,13.8283,1
1.3,2,0.523272,34.1056,0,1,10.068,10.068,9.05744,1
1.3,3,0.567226,36.2766,0,1,15.9539,15.9539,13.8283,1
1.3,4,0.323272,34.1056,0,1,10.068,10.068,9.05744,1
1.3,5,0.247226,36.2766,0,1,15.9539,15.9539,13.8283,1
1.3,6,0.792872,34.1056,0,1,10.068,10.068,9.05744,1
1.3,7,0.9,36.2766,0,1,15.9539,15.9539,13.8283,1
