sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
0,0,0.297527,25.9347,0,1,14.3139,14.3139,12.4624,1
0,1,0.247527,25.9347,0,1,14.3139,14.3139,12.4624,1
0,2,0.549107,25.3377,0,1,3.78728,3.78728,4.50208,1
0,3,0.599107,25.3377,0,1,3.78728,3.78728,4.50208,1
0,4,0.347527,25.9347,0,1,14.3139,14.3139,12.4624,1
0,5,0.277527,25.9347,0,1,14.3139,14.3139,12.4624,1
0,6,0.799762,25.3377,0,1,3.78728,3.78728,4.50208,1
0,7,0.9,25.9347,0,1,14.3139,14.3139,12.4624,1
0.1,0,0.296385,26.3508,0,1,5.62369,5.62369,5.75536,1
0.1,1,0.246385,26.3508,0,1,5.62369,5.62369,5.75536,1
0.1,2,0.548152,25.693,0,1,4.25368,4.25368,4.81239,1
0.1,3,0.598152,25.693,0,1,4.25368,4.25368,4.81239,1
0.1,4,0.346385,26.3508,0,1,5.62369,5.62369,5.75536,1
0.1,5,0.276385,26.3508,0,1,5.62369,5.62369,5.75536,1
0.1,6,0.799507,25.693,0,1,4.25368,4.25368,4.81239,1
0.1,7,0.9,26.3508,0,1,5.62369,5.62369,5.75536,1
0.2,0,0.294413,27.0738,0,1,11.1951,11.1951,9.94093,1
0.2,1,0.244413,27.0738,0,1,11.1951,11.1951,9.94093,1
0.2,2,0.546854,26.1721,0,1,6.72472,6.72472,6.54228,1
0.2,3,0.596854,26.1721,0,1,6.72472,6.72472,6.54228,1
0.2,4,0.344413,27.0738,0,1,11.1951,11.1951,9.94093,1
0.2,5,0.274413,27.0738,0,1,11.1951,11.1951,9.94093,1
0.2,6,0.799161,26.1721,0,1,6.72472,6.72472,6.54228,1
0.2,7,0.9,27.0738,0,1,11.1951,11.1951,9.94093,1
0.3,0,0.29214,27.8985,0,1,13.0851,13.0851,11.4563,1
0.3,1,0.24214,27.8985,0,1,13.0851,13.0851,11.4563,1
0.3,2,0.543839,27.2921,0,1,17.5646,17.5646,15.1938,1
0.3,3,0.593839,27.2921,0,1,17.5646,17.5646,15.1938,1
0.3,4,0.34214,27.8985,0,1,13.0851,13.0851,11.4563,1
0.3,5,0.27214,27.8985,0,1,13.0851,13.0851,11.4563,1
0.3,6,0.798357,27.2921,0,1,17.5646,17.5646,15.1938,1
0.3,7,0.9,27.8985,0,1,13.0851,13.0851,11.4563,1
0.4,0,0.290421,28.5001,0,1,9.56096,9.56096,8.66536,1
0.4,1,0.240421,28.5001,0,1,9.56096,9.56096,8.66536,1
0.4,2,0.540975,28.3364,0,1,16.6718,16.6718,14.4341,1
0.4,3,0.590975,28.3364,0,1,16.6718,16.6718,14.4341,1
0.4,4,0.340421,28.5001,0,1,9.56096,9.56096,8.66536,1
0.4,5,0.270421,28.5001,0,1,9.56096,9.56096,8.66536,1
0.4,6,0.797593,28.3364,0,1,16.6718,16.6718,14.4341,1
0.4,7,0.9,28.5001,0,1,9.56096,9.56096,8.66536,1
0.5,0,0.289944,28.6219,0,1,0.146313,0.146313,2.40239,1
0.5,1,0.239944,28.6219,0,1,0.146313,0.146313,2.40239,1
0.5,2,0.538463,29.2304,0,1,14.5549,14.5549,12.6615,1
0.5,3,0.588463,29.2304,0,1,14.5549,14.5549,12.6615,1
0.5,4,0.339944,28.6219,0,1,0.146313,0.146313,2.40239,1
0.5,5,0.269944,28.6219,0,1,0.146313,0.146313,2.40239,1
0.5,6,0.796923,29.2304,0,1,14.5549,14.5549,12.6615,1
0.5,7,0.9,28.6219,0,1,0.146313,0.146313,2.40239,1
0.6,0,0.288011,29.2921,0,1,10.9408,10.9408,9.74019,1
0.6,1,0.238011,29.2921,0,1,10.9408,10.9408,9.74019,1
0.6,2,0.535718,30.1977,0,1,15.9635,15.9635,13.8364,1
0.6,3,0.585718,30.1977,0,1,15.9635,15.9635,13.8364,1
0.6,4,0.338011,29.2921,0,1,10.9408,10.9408,9.74019,1
0.6,5,0.268011,29.2921,0,1,10.9408,10.9408,9.74019,1
0.6,6,0.796191,30.1977,0,1,15.9635,15.9635,13.8364,1
0.6,7,0.9,29.2921,0,1,10.9408,10.9408,9.74019,1
0.7,0,0.286021,29.9728,0,1,11.3076,11.3076,10.03,1
0.7,1,0.236021,29.9728,0,1,11.3076,11.3076,10.03,1
0.7,2,0.533205,31.061,0,1,14.561,14.561,12.6665,1
0.7,3,0.583205,31.061,0,1,14.561,14.561,12.6665,1
0.7,4,0.336021,29.9728,0,1,11.3076,11.3076,10.03,1
0.7,5,0.266021,29.9728,0,1,11.3076,11.3076,10.03,1
0.7,6,0.795521,31.061,0,1,14.561,14.561,12.6665,1
0.7,7,0.9,29.9728,0,1,11.3076,11.3076,10.03,1
0.8,0,0.283409,30.8775,0,1,15.165,15.165,13.1681,1
0.8,1,0.233409,30.8775,0,1,15.165,15.165,13.1681,1
0.8,2,0.530748,31.8886,0,1,14.216,14.216,12.3817,1
0.8,3,0.580748,31.8886,0,1,14.216,14.216,12.3817,1
0.8,4,0.333409,30.8775,0,1,15.165,15.165,13.1681,1
0.8,5,0.263409,30.8775,0,1,15.165,15.165,13.1681,1
0.8,6,0.794866,31.8886,0,1,14.216,14.216,12.3817,1
0.8,7,0.9,30.8775,0,1,15.165,15.165,13.1681,1
0.9,0,0.28123,31.603,0,1,12.4951,12.4951,10.979,1
0.9,1,0.23123,31.603,0,1,12.4951,12.4951,10.979,1
0.9,2,0.528267,32.7116,0,1,14.3643,14.3643,12.5039,1
0.9,3,0.578267,32.7116,0,1,14.3643,14.3643,12.5039,1
0.9,4,0.33123,31.603,0,1,12.4951,12.4951,10.979,1
0.9,5,0.26123,31.603,0,1,12.4951,12.4951,10.979,1
0.9,6,0.794205,32.7116,0,1,14.3643,14.3643,12.5039,1
0.9,7,0.9,31.603,0,1,12.4951,12.4951,10.979,1
1,0,0.279399,32.1852,0,1,10.2909,10.2909,9.23085,1
1,1,0.229399,32.1852,0,1,10.2909,10.2909,9.23085,1
1,2,0.525162,33.7568,0,1,18.0959,18.0959,15.6491,1
1,3,0.575162,33.7568,0,1,18.0959,18.0959,15.6491,1
1,4,0.329399,32.1852,0,1,10.2909,10.2909,9.23085,1
1,5,0.259399,32.1852,0,1,10.2909,10.2909,9.23085,1
1,6,0.793377,33.7568,0,1,18.0959,18.0959,15.6491,1
1,7,0.9,32.1852,0,1,10.2909,10.2909,9.23085,1
1.1,0,0.27698,32.9799,0,1,13.9858,13.9858,12.1922,1
1.1,1,0.22698,32.9799,0,1,13.9858,13.9858,12.1922,1
1.1,2,0.522479,34.6248,0,1,15.5866,15.5866,13.5202,1
1.1,3,0.572479,34.6248,0,1,15.5866,15.5866,13.5202,1
1.1,4,0.32698,32.9799,0,1,13.9858,13.9858,12.1922,1
1.1,5,0.25698,32.9799,0,1,13.9858,13.9858,12.1922,1
1.1,6,0.792661,34.6248,0,1,15.5866,15.5866,13.5202,1
1.1,7,0.9,32.9799,0,1,13.9858,13.9858,12.1922,1
1.2,0,0.275069,33.5692,0,1,10.8011,10.8011,9.63021,1
1.2,1,0.225069,33.5692,0,1,10.8011,10.8011,9.63021,1
1.2,2,0.51997,35.413,0,1,14.5379,14.5379,12.6474,1
1.2,3,0.56997,35.413,0,1,14.5379,14.5379,12.6474,1
1.2,4,0.325069,33.5692,0,1,10.8011,10.8011,9.63021,1
1.2,5,0.255069,33.5692,0,1,10.8011,10.8011,9.63021,1
1.2,6,0.791992,35.413,0,1,14.5379,14.5379,12.6474,1
1.2,7,0.9,33.5692,0,1,10.8011,10.8011,9.63021,1
1.3,0,0.273272,34.1056,0,1,10.068,10.068,9.05744,1
1.3,1,0.223272,34.1056,0,1,10.068,10.068,9.05744,1
1.3,2,0.517226,36.2766,0,1,15.9539,15.9539,13.8283,1
1.3,3,0.567226,36.2766,0,1,15.9539,15.9539,13.8283,1
1.3,4,0.323272,34.1056,0,1,10.068,10.068,9.05744,1
1.3,5,0.253272,34.1056,0,1,10.068,10.068,9.05744,1
1.3,6,0.79126,36.2766,0,1,15.9539,15.9539,13.8283,1
1.3,7,0.9,34.1056,0,1,10.068,10.068,9.05744,1
1.4,0,0.270931,34.8388,0,1,13.506,13.506,11.7992,1
1.4,1,0.220931,34.8388,0,1,13.506,13.506,11.7992,1
