policy,mlpred,nclient,seed,avg_thp,qoe,avg_rtt
0,0,7,20,1748104.14,0.39,78853.27
0,0,7,6,2083289.29,0.58,93351.14
0,0,7,777,2064415.00,0.58,94992.20
0,0,7,234,932689.81,0.20,51038.64
0,0,7,1000,1732078.34,0.45,81821.97
0,0,7,7,3892862.43,1.76,161920.27
0,0,7,81,2446844.00,0.73,106049.09
0,0,7,84,2857756.14,1.13,124537.69
2,0,7,55,650435.23,0.14,34612.80
2,0,7,42,666320.90,0.15,35940.43
2,0,7,20,962789.57,0.19,38838.66
2,0,7,7,1033412.71,0.22,53993.10
2,0,7,777,967757.29,0.20,42143.44
2,0,7,84,494982.43,0.13,29963.54
2,0,7,6,1419961.43,0.31,49302.71
2,0,7,1000,653592.06,0.15,37164.47
2,0,7,234,641778.39,0.15,34269.29
2,0,7,81,1538497.57,0.38,49927.17
2,1,7,777,450926.57,0.12,34701.20
2,1,7,55,681846.66,0.15,35151.30
2,1,7,42,654493.61,0.14,33605.06
2,1,7,7,571175.57,0.13,28529.19
2,1,7,20,776032.43,0.16,34790.37
2,1,7,6,778323.00,0.16,35135.61
2,1,7,84,515687.71,0.13,29261.24
2,1,7,81,748382.71,0.16,33711.69
2,1,7,234,497738.24,0.13,31719.61
2,1,7,1000,1296242.91,0.28,50695.67
0,0,8,42,2251279.06,0.70,104714.40
0,0,8,20,2910892.10,1.18,128316.86
0,0,8,7,2913256.21,1.12,127345.48
0,0,8,777,3249260.84,1.44,142532.99
0,0,8,55,3439671.62,1.54,144304.75
0,0,8,6,3424180.00,1.32,150366.64
0,0,8,84,2063973.89,0.55,97028.89
0,0,8,1000,2839383.02,1.00,127656.97
0,0,8,81,2789078.38,0.92,120722.68
0,0,8,234,3796464.86,1.75,164394.40
2,0,8,777,655918.84,0.15,36600.50
2,0,8,6,787162.12,0.16,35790.44
2,0,8,42,845534.06,0.17,38666.66
2,0,8,20,836932.10,0.17,38648.64
2,0,8,7,824451.84,0.17,38361.02
2,0,8,84,477042.01,0.12,31546.45
2,0,8,55,1509644.62,0.32,51312.30
2,0,8,1000,911564.65,0.19,40297.05
2,0,8,81,1177214.38,0.24,43700.46
2,0,8,234,1366896.86,0.31,50859.81
2,1,8,55,1093090.50,0.22,41683.28
2,1,8,42,806214.31,0.17,39274.94
2,1,8,777,595345.59,0.14,35165.44
2,1,8,6,796636.62,0.16,35083.21
2,1,8,7,665998.84,0.15,34294.18
2,1,8,20,547960.10,0.13,32676.81
2,1,8,84,576084.64,0.13,32898.10
2,1,8,234,697610.61,0.15,35492.88
2,1,8,1000,663029.28,0.15,35833.11
2,1,8,81,1625782.88,0.36,52435.38
