policy,mlpred,nclient,seed,avg_thp,qoe,avg_rtt
0,0,7,6,1049767.71,0.22,99944.33
0,0,7,234,472558.83,0.12,72913.84
0,0,7,1000,873583.21,0.19,101291.64
0,0,7,81,1232149.29,0.26,110953.96
0,0,7,84,1438293.43,0.36,137928.34
0,0,7,7,2810411.86,1.05,231232.89
2,0,7,55,330961.26,0.11,58314.43
2,0,7,42,338927.46,0.11,62202.69
2,0,7,20,487659.00,0.12,49715.94
2,0,7,777,490148.97,0.13,63027.23
2,0,7,84,252976.29,0.11,52403.33
2,0,7,7,643305.57,0.15,74332.94
2,0,7,6,717001.29,0.15,57322.30
2,0,7,1000,332544.50,0.11,63749.91
2,0,7,234,326619.40,0.11,61834.94
2,0,7,81,776466.14,0.17,60332.44
2,1,7,777,230873.69,0.11,68614.53
2,1,7,42,332995.74,0.11,56681.80
2,1,7,55,346717.26,0.11,58012.33
2,1,7,20,393969.43,0.12,49011.01
2,1,7,7,291198.14,0.11,43443.07
2,1,7,6,395114.86,0.12,50334.97
2,1,7,84,263363.21,0.11,50427.19
2,1,7,81,380098.71,0.11,48794.57
2,1,7,234,254362.83,0.11,60257.66
2,1,7,1000,654936.36,0.15,70280.24
0,0,8,42,1134039.18,0.25,120981.69
0,0,8,7,1466129.32,0.36,143742.54
0,0,8,20,1606868.27,0.44,154569.95
0,0,8,777,1658668.31,0.45,167380.49
0,0,8,55,1752341.12,0.47,152014.45
0,0,8,6,1724036.12,0.41,154707.45
0,0,8,84,1040074.93,0.21,112202.25
0,0,8,1000,1429071.30,0.33,141728.58
0,0,8,81,1403830.88,0.31,125402.21
0,0,8,234,2178908.99,0.66,200380.32
2,0,8,777,333710.69,0.11,64738.40
2,0,8,7,418257.08,0.12,58381.81
2,0,8,42,428836.55,0.12,58880.44
2,0,8,20,424515.78,0.12,58293.80
2,0,8,6,399550.62,0.12,47283.72
2,0,8,84,243975.67,0.11,57775.41
2,0,8,55,761993.62,0.16,57159.24
2,0,8,1000,461959.17,0.12,59884.01
2,0,8,81,595225.62,0.14,54034.74
2,0,8,234,690381.11,0.15,69059.86
2,1,8,55,553024.38,0.13,52303.74
2,1,8,42,409108.92,0.12,61552.35
2,1,8,6,404304.12,0.12,46310.00
2,1,8,777,303325.38,0.11,64046.24
2,1,8,7,338770.45,0.11,56011.51
2,1,8,20,279551.28,0.11,56613.43
2,1,8,84,293661.67,0.11,56346.75
2,1,8,234,354627.86,0.11,57587.53
2,1,8,81,820256.75,0.17,58641.59
2,1,8,1000,337279.55,0.11,59270.28
