sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
0,0,0.299445,25.21,0,1,0.33116,4.03458,2.7994,0.576369
0,1,0.24945,25.2077,0,1,0.311627,3.79661,2.76962,0.542373
0,2,0.548269,25.6545,0,1,9.20422,12.7538,8.72652,0.767018
0,3,0.599404,25.2252,0,1,0.463357,5.64516,3.00286,0.806452
0,4,0.348559,25.5446,0,1,7.34507,10.1777,7.26133,0.612089
0,5,0.279447,25.209,0,1,0.323224,3.93789,2.78729,0.562556
0,6,0.799447,25.784,0,1,11.3208,15.6866,10.454,0.943396
0,7,0.9,25.2382,0,1,0.574563,7,3.17615,1
0.1,0,0.298846,25.4329,0,1,0.868207,4.03187,3.01902,0.575981
0.1,1,0.24886,25.4273,0,1,0.816999,3.79406,2.97454,0.542009
0.1,2,0.547406,25.9695,0,1,3.25198,5.3595,4.34572,0.765643
0.1,3,0.598744,25.4709,0,1,1.21491,5.64191,3.32614,0.805987
0.1,4,0.347787,25.8273,0,1,2.59531,4.27726,3.89021,0.611037
0.1,5,0.278852,25.4306,0,1,0.847401,3.93525,3.00092,0.562178
0.1,6,0.799188,26.1374,0,1,4.00572,6.6017,4.8858,0.943101
0.1,7,0.9,25.5036,0,1,1.50735,7,3.59202,1
0.2,0,0.298197,25.6707,0,1,0.809199,6.93181,3.26721,0.575564
0.2,1,0.248224,25.6608,0,1,0.761475,6.523,3.20797,0.541619
0.2,2,0.546562,26.2726,0,1,1.07547,16.0521,4.25732,0.764958
0.2,3,0.598015,25.7386,0,1,1.13243,9.70071,3.6739,0.805471
0.2,4,0.347023,26.1023,0,1,0.85828,12.8104,3.85089,0.610474
0.2,5,0.278208,25.6667,0,1,0.789808,6.76571,3.24311,0.561772
0.2,6,0.798938,26.4732,0,1,1.32573,19.7874,4.73023,0.942962
0.2,7,0.9,25.7971,0,1,1.40592,12.0435,4.02431,1
0.3,0,0.297255,26.0157,0,1,1.60962,18.5936,4.74953,0.575112
0.3,1,0.247311,25.9947,0,1,1.5147,17.4971,4.59882,0.541198
0.3,2,0.545581,26.622,0,1,2.13907,17.8625,4.94127,0.764287
0.3,3,0.596868,26.16,0,1,2.25275,26.0228,5.78322,0.804902
0.3,4,0.346154,26.4125,0,1,1.70703,14.2546,4.3803,0.609917
0.3,5,0.277278,26.0072,0,1,1.57105,18.1481,4.68823,0.561332
0.3,6,0.798642,26.8687,0,1,2.63877,22.0352,5.60063,0.942828
0.3,7,0.9,26.2844,0,1,2.79878,32.3303,6.67532,1
0.4,0,0.296259,26.3754,0,1,2.52252,16.6319,5.02114,0.574456
0.4,1,0.246349,26.3419,0,1,2.37383,15.6516,4.84976,0.540596
0.4,2,0.544598,26.9666,0,1,3.35267,11.2471,4.95506,0.763508
0.4,3,0.595637,26.606,0,1,3.5305,23.2779,6.20444,0.804005
0.4,4,0.345287,26.7168,0,1,2.67545,8.97522,4.37171,0.609284
0.4,5,0.276295,26.3618,0,1,2.4621,16.2336,4.9514,0.560698
0.4,6,0.798343,27.2614,0,1,4.13939,13.8862,5.65096,0.942669
0.4,7,0.9,26.806,0,1,4.39114,28.9524,7.23976,1
0.5,0,0.29532,26.7073,0,1,2.39142,14.3108,4.73056,0.573764
0.5,1,0.245441,26.6628,0,1,2.25053,13.4677,4.57719,0.539961
0.5,2,0.544124,27.113,0,1,0.111596,0.111596,2.38882,0.762726
0.5,3,0.594426,27.037,0,1,4.01644,19.36,6.10338,0.803042
0.5,4,0.344815,26.8667,0,1,0.0890534,0.0890534,2.38032,0.608652
0.5,5,0.275245,26.7361,0,1,3.73467,12.5677,5.29444,0.560029
0.5,6,0.798216,27.4036,0,1,0.137901,0.137901,2.39905,0.942508
0.5,7,0.9,27.6679,0,1,13.3374,15.7725,11.8926,1
0.6,0,0.294376,27.0355,0,1,2.0854,16.2124,4.75583,0.573112
0.6,1,0.244528,26.9803,0,1,1.9626,15.2577,4.60259,0.539363
0.6,2,0.543153,27.4448,0,1,2.77399,13.9075,4.89354,0.76235
0.6,3,0.593273,27.439,0,1,2.91861,22.6899,5.81262,0.802095
0.6,4,0.343955,27.1605,0,1,2.21347,11.0973,4.33191,0.608309
0.6,5,0.274314,27.0592,0,1,2.0352,15.8221,4.69309,0.559314
0.6,6,0.797921,27.7809,0,1,3.42929,17.1928,5.56481,0.94244
0.6,7,0.9,28.1294,0,1,3.63874,28.2883,6.74621,1
0.7,0,0.293447,27.3528,0,1,2.28461,14.3864,4.68258,0.572457
0.7,1,0.243628,27.2872,0,1,2.15014,13.5396,4.53274,0.538762
0.7,2,0.542149,27.7838,0,1,3.03937,14.1839,5.06291,0.761578
0.7,3,0.592138,27.8273,0,1,3.19746,20.1348,5.71879,0.801192
0.7,4,0.34307,27.4592,0,1,2.42519,11.3177,4.46238,0.607684
0.7,5,0.273397,27.3715,0,1,2.22963,14.0402,4.62122,0.558681
0.7,6,0.797615,28.1684,0,1,3.76054,17.5494,5.78453,0.942282
0.7,7,0.9,28.5754,0,1,3.99088,25.131,6.64218,1
0.8,0,0.292543,27.6555,0,1,2.08153,14.1763,4.55884,0.571813
0.8,1,0.242752,27.5804,0,1,1.95907,13.3422,4.41742,0.538171
0.8,2,0.541057,28.1502,0,1,2.76942,20.305,5.50382,0.760779
0.8,3,0.591039,28.1954,0,1,2.91329,19.841,5.53633,0.800303
0.8,4,0.342114,27.7795,0,1,2.20977,16.2018,4.81803,0.607041
0.8,5,0.272504,27.6695,0,1,2.03147,13.8353,4.50093,0.558058
0.8,6,0.797281,28.5902,0,1,3.42953,25.1449,6.32754,0.942117
0.8,7,0.9,28.9966,0,1,3.64024,24.7918,6.41116,1
0.9,0,0.291629,27.9568,0,1,2.16551,14.2438,4.60793,0.571186
0.9,1,0.241866,27.8722,0,1,2.03816,13.4062,4.46325,0.537595
0.9,2,0.540032,28.4848,0,1,2.88101,16.1093,5.16141,0.759911
0.9,3,0.589926,28.5628,0,1,3.03088,19.9359,5.60895,0.799442
0.9,4,0.341212,28.074,0,1,2.29881,12.8539,4.54338,0.606347
0.9,5,0.271601,27.9662,0,1,2.11344,13.9013,4.54869,0.557452
0.9,6,0.796968,28.9736,0,1,3.57112,19.9681,5.90966,0.941936
0.9,7,0.9,29.4183,0,1,3.79125,24.9373,6.51016,1
