sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
0,0,0.298625,25.5199,0,1,6.91643,9.58374,6.93145,0.576369
0,1,0.248686,25.4965,0,1,6.50847,9.01846,6.62053,0.542373
0,2,0.549411,25.2226,0,1,0.4407,5.36913,2.96778,0.767018
0,3,0.599404,25.2252,0,1,0.463357,5.64516,3.00286,0.806452
0,4,0.348559,25.5446,0,1,7.34507,10.1777,7.26133,0.612089
0,5,0.27865,25.5104,0,1,6.75068,9.35407,6.80476,0.562556
0,6,0.799835,25.2344,0,1,0.542041,6.60377,3.12529,0.943396
0,7,0.9,25.8265,0,1,12,16.6278,11.0202,1
0.1,0,0.297906,25.783,0,1,2.05909,4.41277,3.62349,0.57541
0.1,1,0.247984,25.7536,0,1,1.93776,4.15275,3.53812,0.541504
0.1,2,0.548762,25.4643,0,1,1.15546,5.36585,3.27281,0.766551
0.1,3,0.598744,25.4709,0,1,1.21491,5.64191,3.32614,0.805987
0.1,4,0.347787,25.8273,0,1,2.59531,4.27726,3.89021,0.611037
0.1,5,0.277906,25.783,0,1,2.38548,3.93144,3.74806,0.561634
0.1,6,0.799649,25.494,0,1,1.4219,6.60316,3.51375,0.943308
0.1,7,0.9,26.1924,0,1,4.24739,7,5.06241,1
0.2,0,0.29716,26.0518,0,1,0.808279,12.0641,3.75793,0.574909
0.2,1,0.247256,26.0163,0,1,0.760661,11.3534,3.66962,0.54104
0.2,2,0.548047,25.7269,0,1,1.07699,9.22575,3.60352,0.766035
0.2,3,0.598015,25.7386,0,1,1.13243,9.70071,3.6739,0.805471
0.2,4,0.347023,26.1023,0,1,0.85828,12.8104,3.85089,0.610474
0.2,5,0.277168,26.0491,0,1,0.788901,11.7749,3.72196,0.561127
0.2,6,0.799441,25.7799,0,1,1.32608,11.3595,3.92148,0.943209
0.2,7,0.9,26.5387,0,1,1.40592,20.9843,4.88268,1
0.3,0,0.296316,26.3532,0,1,1.60759,13.4243,4.25258,0.574391
0.3,1,0.246437,26.3092,0,1,1.51291,12.6336,4.13147,0.54056
0.3,2,0.546935,26.1351,0,1,2.14238,24.7478,5.60441,0.765467
0.3,3,0.596868,26.16,0,1,2.25275,26.0228,5.78322,0.804902
0.3,4,0.346154,26.4125,0,1,1.70703,14.2546,4.3803,0.609917
0.3,5,0.276334,26.3468,0,1,1.56906,13.1025,4.20323,0.560623
0.3,6,0.799102,26.2479,0,1,2.63953,30.4907,6.41392,0.943098
0.3,7,0.9,26.9491,0,1,2.79878,23.3714,5.81388,1
0.4,0,0.295475,26.6486,0,1,2.51965,8.45257,4.23986,0.573804
0.4,1,0.24562,26.596,0,1,2.3713,7.9549,4.11521,0.540019
0.4,2,0.545745,26.5661,0,1,3.35739,22.1365,5.99879,0.764583
0.4,3,0.595637,26.606,0,1,3.5305,23.2779,6.20444,0.804005
0.4,4,0.345287,26.7168,0,1,2.67545,8.97522,4.37171,0.609284
0.4,5,0.275503,26.6385,0,1,2.45928,8.25004,4.18903,0.560055
0.4,6,0.798735,26.7474,0,1,4.14048,27.2997,6.93612,0.942916
0.4,7,0.9,27.3575,0,1,4.39114,14.7308,5.87729,1
0.5,0,0.295003,26.7995,0,1,0.0838692,0.0838692,2.3784,0.573219
0.5,1,0.245149,26.7477,0,1,0.0789328,0.0789328,2.37659,0.539481
0.5,2,0.544534,26.9977,0,1,4.24373,17.9857,6.10258,0.763637
0.5,3,0.594383,27.0532,0,1,4.46271,18.9138,6.31861,0.803042
0.5,4,0.344815,26.8667,0,1,0.0890534,0.0890534,2.38032,0.608652
0.5,5,0.275031,26.7896,0,1,0.0818603,0.0818603,2.37766,0.559489
0.5,6,0.798206,27.4676,0,1,10.4779,16.9646,9.99155,0.942719
0.5,7,0.9,27.4983,0,1,0.146313,0.146313,2.40239,1
0.6,0,0.294169,27.0849,0,1,2.0846,10.4512,4.20465,0.572892
0.6,1,0.244338,27.0249,0,1,1.9619,9.83604,4.08421,0.53917
0.6,2,0.543417,27.3865,0,1,2.77517,21.5748,5.62876,0.762675
0.6,3,0.59323,27.4549,0,1,2.91849,22.689,5.81246,0.802061
0.6,4,0.343955,27.1605,0,1,2.21347,11.0973,4.33191,0.608309
0.6,5,0.274206,27.0714,0,1,2.03467,10.2009,4.15555,0.559168
0.6,6,0.797864,27.9119,0,1,3.42927,26.6599,6.47295,0.942435
0.6,7,0.9,27.8904,0,1,3.63874,18.2429,5.78229,1
0.7,0,0.293311,27.3746,0,1,2.28403,10.6589,4.32644,0.572313
0.7,1,0.243505,27.3059,0,1,2.14964,10.0318,4.19782,0.538637
0.7,2,0.542318,27.7621,0,1,3.0402,19.1445,5.53812,0.761787
0.7,3,0.592095,27.8429,0,1,3.19733,20.1339,5.71863,0.801158
0.7,4,0.34307,27.4592,0,1,2.42519,11.3177,4.46238,0.607684
0.7,5,0.273358,27.3574,0,1,2.22934,10.4037,4.274,0.558608
0.7,6,0.797527,28.3413,0,1,3.76041,23.6797,6.37203,0.942251
0.7,7,0.9,28.2936,0,1,3.99088,18.6243,6.01832,1
0.8,0,0.292385,27.6847,0,1,2.08119,15.259,4.66234,0.571718
0.8,1,0.242609,27.6061,0,1,1.95878,14.3615,4.51483,0.53809
0.8,2,0.541253,28.1185,0,1,2.76991,18.8645,5.36589,0.760914
0.8,3,0.590997,28.2107,0,1,2.91317,19.8401,5.53619,0.800269
0.8,4,0.342114,27.7795,0,1,2.20977,16.2018,4.81803,0.607041
0.8,5,0.272445,27.6633,0,1,2.03137,14.8937,4.60222,0.558032
0.8,6,0.797201,28.7473,0,1,3.42936,23.3556,6.15564,0.942069
0.8,7,0.9,28.7332,0,1,3.64024,26.6898,6.59345,1
0.9,0,0.291512,27.9702,0,1,2.16509,12.1063,4.4034,0.571077
0.9,1,0.241762,27.883,0,1,2.0378,11.3945,4.27089,0.537501
0.9,2,0.540175,28.4741,0,1,2.88161,18.954,5.43424,0.760068
0.9,3,0.589884,28.5779,0,1,3.03076,19.9351,5.6088,0.799408
0.9,4,0.341212,28.074,0,1,2.29881,12.8539,4.54338,0.606347
0.9,5,0.271582,27.9451,0,1,2.11329,11.8166,4.34938,0.557412
0.9,6,0.79687,29.1534,0,1,3.57095,23.4883,6.24722,0.941893
0.9,7,0.9,29.1323,0,1,3.79125,21.199,6.15148,1
1,0,0.290695,28.2293,0,1,2.04861,9.69272,4.11426,0.570472
1,1,0.240968,28.1349,0,1,1.92821,9.12307,3.99955,0.536945
1,2,0.539003,28.8593,0,1,2.72638,24.7508,5.90789,0.75921
1,3,0.588672,28.9762,0,1,2.86759,26.0329,6.10641,0.798535
1,4,0.340372,28.3404,0,1,2.17508,10.2911,4.23549,0.605693
1,5,0.270775,28.2011,0,1,1.9996,9.46088,4.06749,0.556827
1,6,0.796509,29.5968,0,1,3.38176,30.7006,6.83508,0.941715
1,7,0.9,29.4861,0,1,3.59107,16.9907,5.63572,1
1.1,0,0.289755,28.5308,0,1,2.57825,13.363,4.7377,0.569908
1.1,1,0.240059,28.4264,0,1,2.42678,12.5779,4.58337,0.536425
1.1,2,0.537841,29.234,0,1,3.43043,20.2075,5.85422,0.758278
1.1,3,0.587471,29.364,0,1,3.60826,21.255,6.05382,0.797584
1.1,4,0.339399,28.6523,0,1,2.73739,14.1878,4.9008,0.605084
1.1,5,0.269848,28.4983,0,1,2.5166,13.0435,4.67477,0.556281
1.1,6,0.796149,30.0296,0,1,4.25941,25.0908,6.79258,0.941519
1.1,7,0.9,29.9205,0,1,4.52398,23.4476,6.78878,1
1.2,0,0.288915,28.7897,0,1,2.2182,10.079,4.2374,0.569259
1.2,1,0.239243,28.6779,0,1,2.08794,9.48711,4.11465,0.53583
1.2,2,0.536754,29.5747,0,1,2.95115,19.0695,5.48274,0.757354
